audio,sentenca,transcricao,Aprovar,Remover,intem,grupo
a_AG_37_1.wav,verney,/’vɜɹni/,Agradável (S),Não Agradável (N),37,1
a_AG_38_1.wav,vigging,/’vɪgɪŋ/,Agradável (S),Não Agradável (N),38,1
a_AG_39_1.wav,voker,/’voʊkəɹ/,Agradável (S),Não Agradável (N),39,1
a_AG_40_1.wav,vokered,/’voʊkəɹd/,Agradável (S),Não Agradável (N),40,1
a_AG_41_1.wav,volers,/’voʊləɹs/,Agradável (S),Não Agradável (N),41,1
a_AG_42_1.wav,winnith,/’wɪnɪθ/,Agradável (S),Não Agradável (N),42,1
a_AG_43_1.wav,ziddy,/’zɪdi/,Agradável (S),Não Agradável (N),43,1
a_AG_44_1.wav,zilard,/’zɪləɹd/,Agradável (S),Não Agradável (N),44,1
a_AG_45_1.wav,vercoed,/’vɜɹkoʊd/,Agradável (S),Não Agradável (N),45,1
a_AG_46_1.wav,forny,/’fɔɹni/,Agradável (S),Não Agradável (N),46,1
a_AG_47_1.wav,admage,/’ædmɪdʒ/,Agradável (S),Não Agradável (N),47,1
a_AG_48_1.wav,affning,/’ɑfnɪŋ/,Agradável (S),Não Agradável (N),48,1
a_AG_49_1.wav,elby,/’ɛlbi/,Agradável (S),Não Agradável (N),49,1
a_AG_50_1.wav,ervy,/’ɜɹvi/,Agradável (S),Não Agradável (N),50,1
a_AG_51_1.wav,infess,/’ɪnfɛs/,Agradável (S),Não Agradável (N),51,1
a_AG_52_1.wav,youssle,/’jusəl/,Agradável (S),Não Agradável (N),52,1
a_AG_53_1.wav,kervo,/’kɜɹvoʊ/,Agradável (S),Não Agradável (N),53,1
a_AG_54_1.wav,kervoed,/’kɜɹvoʊd/,Agradável (S),Não Agradável (N),54,1
a_AG_55_1.wav,larpy,/’lɑɹpi/,Agradável (S),Não Agradável (N),55,1
a_AG_56_1.wav,leknodge,/’lɛknədʒ/,Agradável (S),Não Agradável (N),56,1
a_AG_57_1.wav,modner,/’mɔdnəɹ/,Agradável (S),Não Agradável (N),57,1
a_AG_58_1.wav,mokers,/’moʊkəɹs/,Agradável (S),Não Agradável (N),58,1
a_AG_59_1.wav,musser,/’mʌsəɹ/,Agradável (S),Não Agradável (N),59,1
a_AG_60_1.wav,naffing,/’næfɪŋ/,Agradável (S),Não Agradável (N),60,1
a_AG_61_1.wav,nifish,/’nɪfɪʃ/,Agradável (S),Não Agradável (N),61,1
a_AG_62_1.wav,nipher,/’nɪfəɹ/,Agradável (S),Não Agradável (N),62,1
a_AG_63_1.wav,othening,/’ɔθ(ə)nɪŋ/,Agradável (S),Não Agradável (N),63,1
a_AG_64_1.wav,rackies,/’ɹækiːz/,Agradável (S),Não Agradável (N),64,1
a_AG_65_1.wav,scopies,/’skoʊpiːz/,Agradável (S),Não Agradável (N),65,1
a_AG_66_1.wav,shifin,/’ʃɪfɪn/,Agradável (S),Não Agradável (N),66,1
a_AG_67_1.wav,vackner,/’væknəɹ/,Agradável (S),Não Agradável (N),67,1
a_AG_68_1.wav,vashil,/’væʃɪl/,Agradável (S),Não Agradável (N),68,1
a_AG_69_1.wav,vishal,/’vɪʃəl/,Agradável (S),Não Agradável (N),69,1
a_AG_70_1.wav,wedick,/’wɛdɪk/,Agradável (S),Não Agradável (N),70,1
a_AG_71_1.wav,winthy,/’wɪnθi/,Agradável (S),Não Agradável (N),71,1
a_AG_72_1.wav,youshing,/’juːʃɪŋ/,Agradável (S),Não Agradável (N),72,1
a_AG_73_1.wav,zuber,/’zubəɹ/,Agradável (S),Não Agradável (N),73,1
pegadinha1.wav,mellow,/ˈmɛloʊ/,Agradável (S),Não Agradável (N),74,1
pegadinha2.wav,narrow,/ˈnæroʊ/,Agradável (S),Não Agradável (N),75,1
pegadinha3.wav,tanner,/ˈtænər/,Agradável (S),Não Agradável (N),76,1
pegadinha4.wav,lodger,/ˈlɑdʒər/,Agradável (S),Não Agradável (N),77,1
pegadinha5.wav,murmur,/ˈmɜrmər/,Agradável (S),Não Agradável (N),78,1
